hf_id,hf_navn,helseregion,spesialitet_kode,spesialitet,metric,period,value,unit,source_id,quality
983974724,Helse Bergen HF,H03,20b,Endokrinologi,arsverk,2021,13,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20b,Endokrinologi,arsverk,2022,14,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20b,Endokrinologi,arsverk,2023,14,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20b,Endokrinologi,arsverk,2024,15,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20b,Endokrinologi,arsverk,2025,15,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20c,Fordøyelsessykdommer,arsverk,2015,11,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20c,Fordøyelsessykdommer,arsverk,2016,16,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20c,Fordøyelsessykdommer,arsverk,2017,17,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20c,Fordøyelsessykdommer,arsverk,2018,16,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20c,Fordøyelsessykdommer,arsverk,2019,17,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20c,Fordøyelsessykdommer,arsverk,2020,17,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20c,Fordøyelsessykdommer,arsverk,2021,14,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20c,Fordøyelsessykdommer,arsverk,2022,17,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20c,Fordøyelsessykdommer,arsverk,2023,17,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20c,Fordøyelsessykdommer,arsverk,2024,18,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20c,Fordøyelsessykdommer,arsverk,2025,18,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20d,Geriatri,arsverk,2015,4,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20d,Geriatri,arsverk,2016,4,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20d,Geriatri,arsverk,2017,3,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20d,Geriatri,arsverk,2018,4,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20d,Geriatri,arsverk,2019,3,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20d,Geriatri,arsverk,2020,3,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20d,Geriatri,arsverk,2021,5,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20d,Geriatri,arsverk,2022,3,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20d,Geriatri,arsverk,2023,2,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20d,Geriatri,arsverk,2024,2,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20d,Geriatri,arsverk,2025,6,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20e,Hjertesykdommer,arsverk,2015,34,arsverk,ssb_14080,ekte
