municipality_code,metric,metric_label,period,value,unit,source_id,quality
3428,kpr_l01_l29_0_74_antall,Muskel- og skjelettplager – antall,2022,567,personer,fhi_nokkel_370,ekte
3428,kpr_l70_l71ogl82_l99_0_74_rate,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader) – per 1000,2022,112.688753662385,rate,fhi_nokkel_370,ekte
3428,kpr_l70_l71ogl82_l99_0_74_antall,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader) – antall,2022,250,personer,fhi_nokkel_370,ekte
3428,kpr_skader_0_74_rate,Skader – per 1000,2022,106.378183457291,rate,fhi_nokkel_370,ekte
3428,kpr_skader_0_74_antall,Skader – antall,2022,236,personer,fhi_nokkel_370,ekte
3428,kpr_k70_k99_0_74_rate,"Hjerte- og karsykdomsdiagnoser, totalt – per 1000",2023,68.8277087033748,rate,fhi_nokkel_370,ekte
3428,kpr_k70_k99_0_74_antall,"Hjerte- og karsykdomsdiagnoser, totalt – antall",2023,155,personer,fhi_nokkel_370,ekte
3428,kpr_p01_p29ogp70_p99_0_74_rate,Psykiske symptomer og lidelser – per 1000,2023,98.5790408525755,rate,fhi_nokkel_370,ekte
3428,kpr_p01_p29ogp70_p99_0_74_antall,Psykiske symptomer og lidelser – antall,2023,222,personer,fhi_nokkel_370,ekte
3428,kpr_p01_p29_0_74_rate,Psykiske symptomer – per 1000,2023,71.9360568383659,rate,fhi_nokkel_370,ekte
3428,kpr_p01_p29_0_74_antall,Psykiske symptomer – antall,2023,162,personer,fhi_nokkel_370,ekte
3428,kpr_p01_p04ogp25ogp28_p29_0_74_rate,"Angst og depresjon, symptomer – per 1000",2023,44.404973357016,rate,fhi_nokkel_370,ekte
3428,kpr_p01_p04ogp25ogp28_p29_0_74_antall,"Angst og depresjon, symptomer – antall",2023,100,personer,fhi_nokkel_370,ekte
3428,kpr_p70_p99_0_74_rate,Psykiske lidelser – per 1000,2023,39.9644760213144,rate,fhi_nokkel_370,ekte
3428,kpr_p70_p99_0_74_antall,Psykiske lidelser – antall,2023,90,personer,fhi_nokkel_370,ekte
