municipality_code,metric,metric_label,period,value,unit,source_id,quality
1832,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2025,193,arsverk,ssb_12292,ekte
1833,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2015,55,personer,ssb_12292,ekte
1833,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2016,50,personer,ssb_12292,ekte
1833,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2017,43,personer,ssb_12292,ekte
1833,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2018,50,personer,ssb_12292,ekte
1833,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2019,48,personer,ssb_12292,ekte
1833,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2020,47,personer,ssb_12292,ekte
1833,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2021,49,personer,ssb_12292,ekte
1833,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2022,46,personer,ssb_12292,ekte
1833,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2023,47,personer,ssb_12292,ekte
1833,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2024,51,personer,ssb_12292,ekte
1833,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2025,56,personer,ssb_12292,ekte
1833,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2015,197,personer,ssb_12292,ekte
1833,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2016,194,personer,ssb_12292,ekte
1833,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2017,202,personer,ssb_12292,ekte
1833,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2018,199,personer,ssb_12292,ekte
1833,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2019,195,personer,ssb_12292,ekte
1833,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2020,208,personer,ssb_12292,ekte
1833,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2021,199,personer,ssb_12292,ekte
1833,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2022,195,personer,ssb_12292,ekte
1833,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2023,186,personer,ssb_12292,ekte
1833,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2024,180,personer,ssb_12292,ekte
1833,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2025,178,personer,ssb_12292,ekte
1833,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2015,240,personer,ssb_12292,ekte
1833,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2016,235,personer,ssb_12292,ekte
1833,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2017,237,personer,ssb_12292,ekte
1833,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2018,238,personer,ssb_12292,ekte
1833,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2019,237,personer,ssb_12292,ekte
1833,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2020,249,personer,ssb_12292,ekte
1833,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2021,240,personer,ssb_12292,ekte
1833,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2022,233,personer,ssb_12292,ekte
1833,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2023,227,personer,ssb_12292,ekte
1833,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2024,223,personer,ssb_12292,ekte
1833,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2025,226,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2015,1043,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2016,1050,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2017,971,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2018,995,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2019,1026,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2020,1043,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2021,1110,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2022,1124,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2023,1168,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2024,1144,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2025,1144,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2015,427,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2016,413,personer,ssb_12292,ekte
