hf_id,hf_navn,helseregion,tjenesteomrade,metric,period,value,unit,source_id,quality
983974724,Helse Bergen HF,H03,VOP,sengedogn,2019,78840,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,sengedogn,2020,77280,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,sengedogn,2021,77084,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,sengedogn,2022,78475,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,sengedogn,2023,81495,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,sengedogn,2024,75555,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,sengedogn,2025,75821,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent,2015,94,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent,2016,94,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent,2017,96,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent,2018,92,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent,2019,92,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent,2020,92,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent,2021,94,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent,2022,94,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent,2023,94,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent,2024,96,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent,2025,97,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent_oecd,2015,90,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent_oecd,2016,90,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent_oecd,2017,87,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent_oecd,2018,92,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent_oecd,2019,92,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent_oecd,2020,90,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent_oecd,2021,94,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent_oecd,2022,94,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent_oecd,2023,93,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent_oecd,2024,96,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,beleggsprosent_oecd,2025,95,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,dognplasser,2015,18,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,dognplasser,2016,18,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,dognplasser,2017,23,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,dognplasser,2018,24,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,dognplasser,2019,23,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,dognplasser,2020,23,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,dognplasser,2021,24,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,dognplasser,2022,22,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,dognplasser,2023,20,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,dognplasser,2024,24,senger,ssb_13942,ekte
