municipality_code,aldersgruppe,period,value,unit,source_id,quality
1145,18-29,2015,119,personer,ssb_07459,ekte
1145,30-49,2015,227,personer,ssb_07459,ekte
1145,50-66,2015,165,personer,ssb_07459,ekte
1145,67-79,2015,96,personer,ssb_07459,ekte
1145,80-89,2015,43,personer,ssb_07459,ekte
1145,90+,2015,11,personer,ssb_07459,ekte
1145,alle,2015,865,personer,ssb_07459,ekte
1146,0-17,2015,2965,personer,ssb_07459,ekte
1146,18-29,2015,1669,personer,ssb_07459,ekte
1146,30-49,2015,2922,personer,ssb_07459,ekte
1146,50-66,2015,1969,personer,ssb_07459,ekte
1146,67-79,2015,986,personer,ssb_07459,ekte
1146,80-89,2015,278,personer,ssb_07459,ekte
1146,90+,2015,68,personer,ssb_07459,ekte
1146,alle,2015,10857,personer,ssb_07459,ekte
1149,0-17,2015,10280,personer,ssb_07459,ekte
1149,18-29,2015,6486,personer,ssb_07459,ekte
1149,30-49,2015,11539,personer,ssb_07459,ekte
1149,50-66,2015,8249,personer,ssb_07459,ekte
1149,67-79,2015,3941,personer,ssb_07459,ekte
1149,80-89,2015,1298,personer,ssb_07459,ekte
1149,90+,2015,269,personer,ssb_07459,ekte
1149,alle,2015,42062,personer,ssb_07459,ekte
1151,0-17,2015,49,personer,ssb_07459,ekte
1151,18-29,2015,24,personer,ssb_07459,ekte
1151,30-49,2015,50,personer,ssb_07459,ekte
1151,50-66,2015,50,personer,ssb_07459,ekte
1151,67-79,2015,22,personer,ssb_07459,ekte
1151,80-89,2015,8,personer,ssb_07459,ekte
1151,90+,2015,3,personer,ssb_07459,ekte
1151,alle,2015,206,personer,ssb_07459,ekte
1160,0-17,2015,2097,personer,ssb_07459,ekte
1160,18-29,2015,1356,personer,ssb_07459,ekte
1160,30-49,2015,2219,personer,ssb_07459,ekte
1160,50-66,2015,1820,personer,ssb_07459,ekte
1160,67-79,2015,788,personer,ssb_07459,ekte
1160,80-89,2015,378,personer,ssb_07459,ekte
1160,90+,2015,107,personer,ssb_07459,ekte
1160,alle,2015,8765,personer,ssb_07459,ekte
4601,alle,2015,0,personer,ssb_07459,ekte
4602,alle,2015,0,personer,ssb_07459,ekte
4611,alle,2015,0,personer,ssb_07459,ekte
4612,alle,2015,0,personer,ssb_07459,ekte
4613,alle,2015,0,personer,ssb_07459,ekte
4614,alle,2015,0,personer,ssb_07459,ekte
4615,alle,2015,0,personer,ssb_07459,ekte
4616,alle,2015,0,personer,ssb_07459,ekte
4617,alle,2015,0,personer,ssb_07459,ekte
4618,alle,2015,0,personer,ssb_07459,ekte
4619,alle,2015,0,personer,ssb_07459,ekte
4620,alle,2015,0,personer,ssb_07459,ekte
4621,alle,2015,0,personer,ssb_07459,ekte
4622,alle,2015,0,personer,ssb_07459,ekte
4623,alle,2015,0,personer,ssb_07459,ekte
4624,alle,2015,0,personer,ssb_07459,ekte
4625,alle,2015,0,personer,ssb_07459,ekte
4626,alle,2015,0,personer,ssb_07459,ekte
4627,alle,2015,0,personer,ssb_07459,ekte
4628,alle,2015,0,personer,ssb_07459,ekte
4629,alle,2015,0,personer,ssb_07459,ekte
4630,alle,2015,0,personer,ssb_07459,ekte
4631,alle,2015,0,personer,ssb_07459,ekte
4632,alle,2015,0,personer,ssb_07459,ekte
4633,alle,2015,0,personer,ssb_07459,ekte
4634,alle,2015,0,personer,ssb_07459,ekte
4635,alle,2015,0,personer,ssb_07459,ekte
4636,alle,2015,0,personer,ssb_07459,ekte
4637,alle,2015,0,personer,ssb_07459,ekte
4638,alle,2015,0,personer,ssb_07459,ekte
4639,alle,2015,0,personer,ssb_07459,ekte
4640,alle,2015,0,personer,ssb_07459,ekte
4641,alle,2015,0,personer,ssb_07459,ekte
4642,alle,2015,0,personer,ssb_07459,ekte
4643,alle,2015,0,personer,ssb_07459,ekte
4644,alle,2015,0,personer,ssb_07459,ekte
4645,alle,2015,0,personer,ssb_07459,ekte
4646,alle,2015,0,personer,ssb_07459,ekte
4647,alle,2015,0,personer,ssb_07459,ekte
4648,alle,2015,0,personer,ssb_07459,ekte
4649,alle,2015,0,personer,ssb_07459,ekte
4650,alle,2015,0,personer,ssb_07459,ekte
4651,alle,2015,0,personer,ssb_07459,ekte
1505,0-17,2015,5100,personer,ssb_07459,ekte
1505,18-29,2015,3851,personer,ssb_07459,ekte
1505,30-49,2015,6556,personer,ssb_07459,ekte
1505,50-66,2015,5376,personer,ssb_07459,ekte
1505,67-79,2015,2560,personer,ssb_07459,ekte
1505,80-89,2015,874,personer,ssb_07459,ekte
1505,90+,2015,190,personer,ssb_07459,ekte
1505,alle,2015,24507,personer,ssb_07459,ekte
1506,alle,2015,0,personer,ssb_07459,ekte
1508,alle,2015,0,personer,ssb_07459,ekte
1511,0-17,2015,617,personer,ssb_07459,ekte
1511,18-29,2015,407,personer,ssb_07459,ekte
1511,30-49,2015,700,personer,ssb_07459,ekte
1511,50-66,2015,838,personer,ssb_07459,ekte
1511,67-79,2015,457,personer,ssb_07459,ekte
1511,80-89,2015,172,personer,ssb_07459,ekte
1511,90+,2015,67,personer,ssb_07459,ekte
1511,alle,2015,3258,personer,ssb_07459,ekte
1514,0-17,2015,494,personer,ssb_07459,ekte
1514,18-29,2015,367,personer,ssb_07459,ekte
1514,30-49,2015,684,personer,ssb_07459,ekte
1514,50-66,2015,596,personer,ssb_07459,ekte
1514,67-79,2015,310,personer,ssb_07459,ekte
1514,80-89,2015,149,personer,ssb_07459,ekte
1514,90+,2015,35,personer,ssb_07459,ekte
1514,alle,2015,2635,personer,ssb_07459,ekte
1515,0-17,2015,2021,personer,ssb_07459,ekte
1515,18-29,2015,1296,personer,ssb_07459,ekte
1515,30-49,2015,2328,personer,ssb_07459,ekte
1515,50-66,2015,1917,personer,ssb_07459,ekte
1515,67-79,2015,907,personer,ssb_07459,ekte
1515,80-89,2015,376,personer,ssb_07459,ekte
1515,90+,2015,89,personer,ssb_07459,ekte
1515,alle,2015,8934,personer,ssb_07459,ekte
1516,0-17,2015,2054,personer,ssb_07459,ekte
1516,18-29,2015,1202,personer,ssb_07459,ekte
1516,30-49,2015,2505,personer,ssb_07459,ekte
1516,50-66,2015,1528,personer,ssb_07459,ekte
1516,67-79,2015,699,personer,ssb_07459,ekte
1516,80-89,2015,248,personer,ssb_07459,ekte
1516,90+,2015,56,personer,ssb_07459,ekte
1516,alle,2015,8292,personer,ssb_07459,ekte
1517,0-17,2015,1136,personer,ssb_07459,ekte
1517,18-29,2015,824,personer,ssb_07459,ekte
1517,30-49,2015,1298,personer,ssb_07459,ekte
1517,50-66,2015,1062,personer,ssb_07459,ekte
1517,67-79,2015,475,personer,ssb_07459,ekte
1517,80-89,2015,215,personer,ssb_07459,ekte
1517,90+,2015,55,personer,ssb_07459,ekte
