region_id,region_navn,region_type,tjenesteomrade,aldersgruppe,diagnose_kode,diagnose_navn,metric,period,value,unit,source_id,quality
0,Hele landet,land,SOM,0-17,XII,(L00-L99) Sykdommer i hud og underhud,dognopphold,2015,1164,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XII,(L00-L99) Sykdommer i hud og underhud,oppholdsdogn,2015,3624,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XIII,(M00-M99) Sykdommer i muskel-skjelettsystemet og bindevev,pasienter,2015,19974,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XIII,(M00-M99) Sykdommer i muskel-skjelettsystemet og bindevev,pasienter_dogn,2015,2040,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XIII,(M00-M99) Sykdommer i muskel-skjelettsystemet og bindevev,dognopphold,2015,2592,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XIII,(M00-M99) Sykdommer i muskel-skjelettsystemet og bindevev,oppholdsdogn,2015,8982,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XIV,(N00-N99) Sykdommer i urin- og kjønnsorganer,pasienter,2015,11301,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XIV,(N00-N99) Sykdommer i urin- og kjønnsorganer,pasienter_dogn,2015,1791,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XIV,(N00-N99) Sykdommer i urin- og kjønnsorganer,dognopphold,2015,2064,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XIV,(N00-N99) Sykdommer i urin- og kjønnsorganer,oppholdsdogn,2015,5730,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XIX,"(S00-T98) Skader, forgiftninger og visse andre konsekvenser av ytre årsaker",pasienter,2015,84816,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XIX,"(S00-T98) Skader, forgiftninger og visse andre konsekvenser av ytre årsaker",pasienter_dogn,2015,10155,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XIX,"(S00-T98) Skader, forgiftninger og visse andre konsekvenser av ytre årsaker",dognopphold,2015,11166,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XIX,"(S00-T98) Skader, forgiftninger og visse andre konsekvenser av ytre årsaker",oppholdsdogn,2015,20028,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XV,"(O00-O99) Svangerskap, fødsel og barseltid",pasienter,2015,393,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XV,"(O00-O99) Svangerskap, fødsel og barseltid",pasienter_dogn,2015,66,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XV,"(O00-O99) Svangerskap, fødsel og barseltid",dognopphold,2015,84,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XV,"(O00-O99) Svangerskap, fødsel og barseltid",oppholdsdogn,2015,120,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XVI,(P00-P96) Visse tilstander som oppstår i perinatalperioden,pasienter,2015,10239,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XVI,(P00-P96) Visse tilstander som oppstår i perinatalperioden,pasienter_dogn,2015,6615,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XVI,(P00-P96) Visse tilstander som oppstår i perinatalperioden,dognopphold,2015,7386,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XVI,(P00-P96) Visse tilstander som oppstår i perinatalperioden,oppholdsdogn,2015,69564,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XVII,"(Q00-Q99) Medfødte misdannelser, deformiteter og kromosomavvik",pasienter,2015,29316,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XVII,"(Q00-Q99) Medfødte misdannelser, deformiteter og kromosomavvik",pasienter_dogn,2015,3420,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XVII,"(Q00-Q99) Medfødte misdannelser, deformiteter og kromosomavvik",dognopphold,2015,4662,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XVII,"(Q00-Q99) Medfødte misdannelser, deformiteter og kromosomavvik",oppholdsdogn,2015,21642,dogn,ssb_14824,ekte
